Product Description,Product Category
"Bosch GKF 550 Mini Palm Router 550W 06016A00F0 BOSCH GKF550 Mini Palm Router is a basic entry level affordable but yet reliable tool for the professionals. Powerful 550W motor gives high routing efficiency with motor performance in cooperation with high rpm. Optimized air flow provides prevention of overheat, no rest required during long hour work. Robust and protective switch design gives very convenient to slide on & off and also gives switch protection even when tool drops.",Electronics
Mi Original Bluetooth Headset (Black) The Sleek Bluetooth headset features two discreet rocker Buttons for music control and volume adjustment. That way you have quick access to these functions without unlocking your phone.,Electronics
Varudi Fashion Women's Embroidered Semi Stitched Anarkali Gown (Mor1_Blue_Freesize) This is Beautiful navy blue Embroidered Semi Stitched Gown for Women's and Girl. the Fabric Of the Product is Taffeta Silk. The Colour of this beautiful Gown is Navy Blue. This Product is manufactured by Varudi Fashion We supply quality assured products. The collection is regularly updated with more various trends and our fashion artist designs the collection looking upon the use of the product. The style of this product is Embroidered. The Stitch type of the product is Semi Stitched. Wash Care: Wash in domestic or commercial machine in water not exceeding 70 degree C.,Clothing
Apprenticed to a Himalayan Master: A Yogi's Autobiography,Books
"Unique Gadget 2 In 1 Multifuctional Steaming Device Frying Egg Boiling Roasting Heating This handy product lets you cook eggs in just 7 minutes. With PETRICE Multi function Electric egg Cooker,or can use this egg steamer to cook, Make 7 hard, medium, and soft boiled eggs, individual omelettes, 1-3 poached eggs and scrambled eggs!. It's automatic shut-off function turns off the egg cooker automatically, giving you perfect eggs every time. Now you can enjoy your eggs the way you want them and no more cooking accidents.",Home Appliances
"House of Quirk Chef Basket Cooker Strainer 12 In 1 Kitchen Tool Cooks Net - Flexible Kitchen Helper Kitchen Tool Features: Brand new and high quality. It instant Flexible essential kitchen helper. It starts off flat and instantly expands to a flexible basket that let you cook, boil, or deep fry foods with ease. Specially designed handles stay cool to the touch. When cooking is done, simply lift out the chef basket and go right from the pot to the plate. You can rise your food in the chef basket, lift handles back up and go right from the sink to the pot in one easy motion. It folds flat for easy storage anywhere. Material: Stainless Steel. Size: 23 cm x 23cm x 12cm - 9.06inch x 9.06inch x 4.72 inches. Handle size: 16.5 cm x 12.5cm - 6.49inch x 4.92inch. Package Included: 1 X Foldable Fry Basket",Home Appliances
"Bharat Lifestyle New Sagittarius Fabric 3 + 1 + 1 Seater Sofa Set, Dark Brown Bharat Lifestyle brings to you modern and comfortable sofa set for your living room.Bharat Lifestyle Sagittarius Dark Brown Jute Fabric 3+1+1 Sofa Set is made of Acacia wood. It has an elegant design which enhances the interior decor of your living room. Designed in such a way, the sofa is comfortable to sit. The best part it, it comes with good price without compromising on quality. Buy this sofa today!",Furniture
"Philips HL1632 500-Watt 3 Jar Juicer Mixer Grinder with Fruit Filter (Blue) Maximum juice without the fuss Reverse spiral sieve for maximum extraction Unique micro mesh filter for maximim juice extraction Ease of Use Compact design for less storage space Easy to pour and store in separate chamber with spout Fruit filter for seeds and skin separation All in One Juicing and processing solution Blender jar with filter for soft fruits Centrifugal juicer for hard fruits Multipurpose jar for grinding, mixing and pureeing Automatic shut-off Non-slip feet Speeds: 3 and pulse",Home Appliances
"Naughty Ninos Girls Navy Blue Striped Fleece Front Open Jacket for 3 to 12 Years Its time to snuggle up for your little ones and get cozy in this jacket from the House of Naughty Ninos. Made of polyester, the jacket is fillled with polyfill to insulate and keep your naughty one warm. Team it up with a denim or warm trouser and match it with tan boots to complete the look.",Clothing
"Zeffcon - MicroSD to SD SDHC Memory Card Adapter Converter Jack (Black) Zeffcon - MicroSD MicroSDHC to SD SDHC AdapterNeed to use your micro SD card in an SD card slot? This SanDisk micro SD to SD memory card adapter is designed for use in devices with a standard Secure Digital slot!It features a built-in write protection switch to keep your data safe! Order today!Features/Specifications: SanDisk micro SD to SD Memory Card AdapterGeneral Features: micro SD to SD card adapter Built-in write protection switch For use in devices with a standard Secure Digital slotUnit Dimensions:1.25 x 0.9 x 0.1-inches (H x W x D, approximate)Package Includes: SanDisk micro SD to SD Memory Card AdapterNotes:Only Adapter , no memory card is provided",Electronics
The Power of Your Subconscious Mind,Books
"BLINKIN Yoga,Gym and Active Sports Fitness Black Capri Tights for Women|Girls (06) (XX-Large) Blinkin yoga , gym and active sports fitness Black Capri tights For Women(4 sizes M,L , XL and XXL).A black track pants. This is the latest fashion trend for the modern women. It is highly elastic material that gives you a slim body hugging fit.You can wear it on every occasions be it you Gym Classes or yoga Classes or evening casual walk. Tags# ripped leggings ; criss cross legging ; Gym Leggings ;yoga leggings ;black lower;joggers capri",Clothing
TAMILNADU HISTORY BOOKS (CLASS XI & XII) SET OF 2 BOOKS (PHOTOCOPY ONLY),Books
"Orient Electric Aerostorm 1320mm Premium Ceiling Fan (White) Aerostorm comes with a high gloss premium PU paint finish that ensures the fan looks new forever. The UV metallized decorative ring and the eye catching spiral curves in canopy, blades and bottom cover provides a premium look to the fan. The unique winglet design for the fan blades which minimizes the vortex, thereby delivering higher air thrust with minimal noise across the geography of the country with varied climatic conditions. Its 100% rust-free blades made of specially engineered high grade compounded glass-filled ABS material and aerodynamic design reduces friction and air turbulence like never before which, in turn, gives highest air delivery and air thrust in the category, thereby, aligning it with the Aero series' theme of ""Very silent, Very Powerful"".",Home Appliances
"Vivid Bharti Women's Tracksuit Vivid Bharti is one of the best Indian online garments stores that offer exclusive range of current fashion based apparels for men, women, girls, boys, teenagers, and children. Online store houses huge collection of a number of apparels made of stylish fabric including T shirts, Lowers, Tracksuits, Sweatshirts, plus Jackets for men. It stores Tracksuits, Jackets, Night suits, Leggings, and Lowers for women as well as men. The clothes are crafted out of smooth cotton fabric which are comfortable to wear. It has huge collection for Tracksuits, Lowers, and Jackets for boys plus Tracksuits, and Jackets for girls. It offers the trendy garments for both summer and winter seasons. It is an excellent online store for fashion lovers in India. The apparels it sells online are most durable and meets all international standards in their quality, fashion, and trends. Interestingly, furthermore, they are available at competitive and affordable prices.",Clothing
"Amaal Men Cufflinks Set Men in a Gift Box Golden Cufflink,Tie pin Combo Set -CFL SET-101 Amaal is a Brand for men jewellery Cufflinks Set A Man Apart. You Just Feel Better When You Add Cufflinks To Your Wardrobe. Incredible Technology Is Employed To Bring These Designs. Choose One Of These Cufflinks As A Gift To Yourself Or For Someone Who Is Special. And Grooms To Be - Don'T Forget About Your Groomsmen, They Would Treasure A Pair Of Cufflinks From You.Miami is a Branded Mens Jewellery Deals in Various products as mentioned earrings for men ear rings for men men stylish earrings for women earrings for women jewellery for men men jewellery chain for men stylish bracelets for men stylish bracelet for men stylish studs for men rings for men gold plated ear stud for men bracelet for women stylish ring bracelet for women chain for men bracelet for men jewellery for men party wear traditional jewellery for women gold jewellery men 22k ring for men bracelets for men silver jewellery for men cufflinks set for men cuff links for men groom wedding jewellery oxidized jewellery for men diamond jewellery for men rings for men jewellery set for men gold ring for men 22k chain for men western wear valentine gifts for women valentine gifts for girlfriend valentine gifts for boyfriend valentine gift for lover valentine surprise gift valentine special gift",Jewelry & Accessories
"Amazon Brand - Solimo Microfibre Reversible Comforter, Single (Aqua Blue & Olive Green, 200 GSM) Size:Single                                                                                 |                            Color Name:Blue/Green   Made from 100% microfibre shell and filled with 200 GSM hollow siliconized polyester filling, Solimo comforters are warm, cosy and lightweight. These durable comforters have an attractive machine stitched pattern which keeps the filling in place.",Home Appliances
"Okayji Multifunction 5 Blade Vegetable Stainless Steel Herbs Scissor with Blade Comb (Color may vary) This shredding scissors gathers more row scissors. With it, you no longer requires electricity of shredder to crush confidential files. Than the electric shredders, the shredding scissors better portability, use rise very convenient. If you need to prepare shredding ribbons, it is also a good helper. Of course, used to cut scallions is good too. Specialties: multi-layer scissors is a good helper of kitchen shears scrawled food, can be used to cut scallions, cut noodles, kelp, cut cut seaweed, etc., Is also a good tool of office shredding confidential. Clean comb can clean the residue in the cut piece. Size:19cm x 7.5Cm attentionï¼š please place where children can't reach, cut the handle not near the high temperature and fire. Package include: 1 x shredding scissor 1 x cleaning comb",Grocery
"Vardhman Brilon Pink 200 Gm Hand Knitting Wool / Art Craft Soft Fingering Crochet Hook Yarn, Needle Acrylic Knitting Yarn Thread Dyed Size:200 gm (2pc)   Vardhman Wool is ideal for knitting sweaters, Art & Craft, etc. Items made from this yarn may be laundered through the use of water, detergent or soap and gentle hand manipulation; No bleach product may be used.",Office Supplies
"Havells Leganza 1200mm Ceiling Fan (Bronze and Gold) Stunning Looks and Powerful Performance The Havells Leganza ceiling fan is one of the most good looking fans from the elaborate range of Havells home appliances. Its attractive finish gives your ceiling a classy look and it blends with any decor scheme. The fan has four blades that provide sufficient air flow even in large sized rooms and help you beat the heat in the summer season. Havells ceiling fan comes in a dual bronze and gold tones. So, if you need a smart looking fan for your living room, then this Havells fine might just be what you are looking for.Robust Features The Havells gold ceiling fan is a unique fan with four blades to provide effective cooling to your room. It has exotic blade trims and a body ring that gives it a classy finish. The 4 blade ceiling fan provides an air sweep of 1200mm, which makes it a great choice for larger sized rooms as well. The Havells 4 blade ceiling fan also comes with a 2 year warranty and is designed for prolonged performance. With the known durability, stunning looks and exceptional performance, this Havells fan can be a great choice to spice up your home and stay cool this summer. Brand: Havells Colour: Bronze and gold Additional Features: Metallic paint finish, 4 blade fan, exotic blade trims and body ring, 1200mm sweep  Technical Specification: Design Features: Colour :Bronze-Gold Colour options :Pearl White-Silver Blade finish :Metallic Decorative features :Body Ring with Trim Dimensions and Weight: Weight (kg) :5 Packaging dimensions wxhxd (mm) :BLADE 545 x 145 x 78 :MOTOR 270 x 215 x 198 Safety features: Motor protection through thermal overload protection device :NA Performance Features: Air delivery (cmm) :230 High performance at low voltage :No Rated Speed (RPM) :350 Basic-Features: Sweep size (mm) :1200 No. of blades :4 Reversible blades :No Remote control option :No Downrod length (mm) :260 Warranty: Guarantee :2 Years In the box:Sales package contains :Fan Motor, Blade Set, DownRod, Canopy Set, Shackle Kit, and Twisted Wire, guarantee card Underlight Features: Light Kit :No Number of Lights :NA Type of Lamp :NA Shades Glass Type of underlight :NA Light Holder :NA Recommended Light Bulb Shape :NA Power features: Power consumption (Watts) :72 Rated Voltage (Volts) :220-240 Rated Frequency (Hertz) :50 BEE Rating Energy efficiency feature :NA",Home Appliances
Textbook of Oral & Maxillofacial Surgery,Books
Star Generic Laser Disco Pointer Pen with Adjustable Cap (Green) Colour:Green   Have great fun at the next party with this disco pointer pen beam.,Electronics
"YaYa Cafe Valentine Anniversary Gifts for Couple, Engraved Hubby Wifey Couple Wine Glasses Set of 2 for Husband Wife with Coasters - Premium Stem 600 ml Size:600 ml   Engraved Wine Glasses for Couples A gift for the modern couples, the wine glasses sets are a perfect way to celebrate love in an elite way. Packed in a set of 2 for couples our engraved wine glasses are an awesome gift idea to celebrate love, Weddings and Anniversaries. The glasses are etched using laser engraving and are permanent in nature and would last a lifetime. Gift Suggestions: Valentine Gifts for Couple, Cute Couple Gifts, Wedding Gifts for bride and Groom, Anniversary Gifts for Couples, Husband Wife. What is Engraving? Engraving also popularly known as etching is the process or art of engraving a design on a hard surface (glass), especially to make a print. All our barware glassware are laser engraved to achieve the best quality products with fine engraving & beautiful designs. About Gift Set:  Madison White Wine Glasses - Brand : Ocean, Model No.:1015W12, Volume - 350 ml Premium Stem Red Wine Glasses: Brand : Ocean, Model No. : 1015A21, Volume – 600 ml Safely gift boxed to avoid transit damage  Disclosure: This is an exclusive couple wine glasses gift set from TheYaYaCafe. We shall not be liable for the any imitated product sold by other local sellers. The information, images contained is copyrighted by TheYaYaCafe and may not be distributed, modified, reproduced in whole or in part without the prior, handwritten and signed consent by TheYaYaCafe.",Home Appliances
"Kids Baby Boys and Girls Woollen Winter Body Warmer Striped Thermal Pyjama Bottom Pack of 6 A body-hugging thermal wear for icy days and chili nights Made from exceptional soft cotton, processed to draw moisture away Designed to be worn",Clothing
"The Boys In The Boat: An Epic Journey to the Heart of Hitler's Berlin Review 'The Boys in the Boat is a triumph of great writing matched with a magnificent story. Daniel James Brown strokes the keyboard like a master oarsman, blending power and grace to propel readers toward a heart-pounding finish.’ Mitchell Zuckoff, author of Lost in Shangri-La and Frozen in Time. ‘Chariots of Fire – with oars [Brown’s] descriptions of the key races are exciting and dramatic, and it is impossible not to get wrapped up in the emotion.’ The Times  ‘Like Laura Hillenbrand’s Seabiscuit and Michael Lewis’s Moneyball before it, The Boys in the Boat has all the ingredients for a film adaptation. Written with cinematic precision, it tells the story of Joe Rantz, who grows up in obscurity during the Great Depression only to triumph over adversity as one of the US rowing crew that won gold at the 1936 Berlin Olympics […] a moving, enlightening and gripping tale’ Financial Times ‘In 1936 nine working-class American boys burst from their small towns into the international limelight, unexpectedly wiping the smile off Adolf Hitler’s face by beating his vaulted German team to capture the Olympic gold medal. Daniel James Brown has written a robust, emotional snapshot of an era, a book you will recommend to your best friends.’ James Bradley, Flags of Our Fathers, Flyboys, The Imperial Cruise ‘For this nautical version of Chariots of Fire, Brown crafts an evocative, cinematic prose … studded with engrossing explanations of rowing technique and strategy, exciting come-from-behind race scenes, and the requisite hymns to ""mystic bands of trust and affection"" forged on the water.’ Publishers Weekly ‘The Boys in the Boat is the thrilling true story of the 1936 University of Washington crew team, which went from backwater obscurity to a gold medal at the 1936 Berlin Olympics. […] A story this breathtaking demands an equally compelling author, and Brown does not disappoint. The narrative rises inexorably, with the final 50 pages blurring by with white-knuckled suspense as these all-American underdogs pull off the unimaginable.’ The Seattle Times   From the Author Daniel James Brown is the author of The Indifferent Stars Above and Under A Flaming Sky. He lives in Washington State. 				    	 					              See all Product description",Books
"JBL T110BT Pure Bass Wireless in-Ear Headphones with Mic (Black) Colour:Black   JBL T110BT headphones offer a grab 'n' go, wireless solution for your everyday usage along with the ability to make or take hands free calls and 6 hours of battery life. Imagine headphones that quickly charge in 2 hours, come in 6 distinctive colours, feature a flat tangle free cable and are lightweight enough to comfortably wear for hours on end. And when you combine magnets that ensure the headphones are not dangling when not in use, the tangle-free cable and the comfort of the ergonomic ear-tips and neckband design, it’s easy to see how the JBL T110BT headphones can become an essential part of your day-to-day music loving life. What’s in the box: 1 pair of T110BT headphones, 3 sizes of ear tips (S, M, L), Charging cable, Warning card, Warranty card, Safety sheet, QSG Technical specifications: Driver size: 8.6mm Dynamic frequency response range:20Hz–20kHz Sensitivity: 96dB SPL/1mw Sensitivity: 96dB SPL1kHz Sensitivity: 96dB SPL/1m@1kHz dB v/pa: -21 Impedance: 16Ω Bluetooth transmitted power: 0~4dBm Bluetooth transmitted modulation:GFSK, DQPSK, 8-DPSK Bluetooth frequency: 2.402GHz–2.48GHz Bluetooth profiles: HFP v1.5, HSP v1.2,A2DP v1.2, AVRCP v1.5 Bluetooth version: V4.0 Battery type: GSP051230 01 Battery type: Polymer Li-ion Battery(3.7V, 120mAh) Charging time: <2hr Music play time with BT on: >6hr Talk time with BT on: >6hr",Electronics
"Celebrating the Best of Urdu Poetry About the Author Khushwant Singh is Indias best known writer and columnist. He has been founder editor of Yojana and editor of the Illustrated Weekly of India, the National Herald and the Hindustan Times. He is the author of classics such as Train to Pakistan, I Shall Not Hear the Nightingale and Delhi. His latest novel, The Sunset Club, written when he was 95, was published by Penguin Books in 2010. His nonfiction includes the classic two volume A History of the Sikhs, a number of translations and works on Sikh religion and culture, Delhi, nature, current affairs and Urdu poetry. His autobiography, Truth, Love and a Little Malice, was published by Penguin Books in 2002.",Books
"Captcha® Bluetooth Stereo Adapter Audio Receiver 3.5Mm Music Wireless Hifi Dongle (For Samsung, Motorola, Sony, Oneplus, HTC, Lenovo, Nokia, Asus, Lg, Coolpad, Xiaomi, Micromax and All Android Mobiles) Size name:Receiver Type 2   With this device you can make any speaker including your car home or even your computer speakers wireless. It will enable you to play Music directly from your phone to your speakers with high quality sound through your phone's Bluetooth. You do not have to throw away your old speakers just invest in this adapter and your old speakers will be bluetooth compatible. That this device is powered by usb. You can put this device directly into a usb wall socket for it to work or any other USB port. Features: Lets ordinary speakers instantly become wireless Bluetooth stereo audio music speakers Can be paired to any Blth enabled devices such as mobile phone laptops speaker and Bluetooth audio transmitter Make any speaker play wireless music Instructions for use Insert the receiver into the speaker's usb interface and the other end connected with the 3.5mm audio cable to the receiver and the LINE-IN interface of speakers Open the Bluetooth-enabled mobile phone after the pairing is successful",Electronics
United Colors of Benetton Boys' Brief,Clothing
"Asus F560 F560UD-BQ237T 15.6-inch Laptop (8th Gen i5-8250U/8GB/1TB/Windows 10/4 Graphics), Black Whether you want to work or play, ASUS F560 delivers. This high-performance laptop uses the latest-generation processors and gaming-grade graphics for fast, responsive computing with exceptional visuals. Its thin-bezel Nano Edge display gives you an immersive viewing experience. And with its fresh styling, F560 not only performs great, it looks great too!",Electronics
"VKB Bluetooth Capsule (Pill) Speaker with FM Pendrive SD Card Input for car Outdoor Speaker (Black Colour) Small in size & BIG on quality. Play radio and enjoy your favorite music directly through Bluetooth, AUX cable, PEN drive or Micro SD card with rechargeable battery. Ideal companion for iPhones, Smartphones, iPads and Laptops (gives excellent audio output when you are enjoying your movies in your own comfort). Once connected with mobile phone through Bluetooth, works as an extended speaker phone too. Excellent device for corporate customers where it can be used for conference calls. Can be easily carried in your bag when travelling. Easily compatible with Headphones also.",Electronics
"Comfort Wool Double Bed Electric Blanket (Multicolour, 60X60-inch) It radiates heat from beneath inducing deep restful sleep even in the coldest of winter nights. The heat therapy relaxes the tired back and legs muscles. It helps ease stiffness and soreness and allows you to wake up feeling rested and fresh. The electric blankets are time examined,safe and Comfortable. It has a power supply of 220 to 250 volts with a wattage of 200 watts. It consumes 2 units of electricity and can be used to 20 hour. No laundry worries associated with this blanket.",Home Appliances
"ARYAN Platinum Double Soap Dish-Soap Stand-Bathroom Soap Holder-Anti Rust-Corrosion Free (Glossy Finish, High Grade 304 Stainless Steel, Anti Rust, Corrosion Free) - Bathroom Accessories - PUMA Series Color name:Silver   We ""ARYAN enterprise"" are a manufacturer of durable range of towel rack, soap dish, liquid soap dispenser, napkin ring, towel rod, robe hook, . The offered products are precisely designed and manufactured in accordance.",Home Appliances
"Crushing It!: How Great Entrepreneurs Build their Business and Influence and How You Can, Too Review “Gary is a masterful entrepreneur with a gift for communication that cuts through all the bullshit that can often hinder one’s success. We share the same simplistic business philosophy which is why we’ve become good friends: Be willing to put in the hard work. And always be grateful. Crushing It! is a must-have for all individuals who want to be the best at what they do.” (Dwayne “The Rock” Johnson)“The name GaryVee has become synonymous with motivating an entire generation. No one understands the power of social media better than Gary, because none of what he preaches is theory—it’s an understanding born from his deep experience in business and in life.” (Casey Neistat)“Gary is helping to calibrate the desires and expectations of a new generation searching for a way to break through the noise. He’s loud, he’s high energy—and he’s exactly right.” (John Mayer)Vaynerchuk identifies the most important components that contribute to successful online marketing in a personable, lively way. Going beyond simple “how-to” guides for the various platforms, he gets at the heart of what it takes to succeed in a competitive environment. Recommended for anyone looking to get started online or increase their media currency. (Laurel Tacoma, Fairfax Cty. P.L., VA) 				    	 					 From the Back Cover “If there’s anything this book should teach you, it’s that the only thing stopping you from achieving lasting career and life happiness is you.”In his 2009 international bestseller, Crush It!, Gary insisted that a vibrant personal brand was one of the primary paths to entrepreneurial success. In Crushing It!, Gary explains why that’s even more true today, offering his unique perspective on what has changed and what remains timeless. He also shares stories from other entrepreneurs who have grown wealthier—and not just financially—than they ever imagined possible by following Crush It! principles. The secret to their success (and Gary’s) has everything to do with their understanding of social media platforms and their willingness to do whatever it takes to make these tools work to their utmost potential. Crushing It! is a state-of-the-art guide to building your own path to professional and financial success, but it’s not about getting rich. It’s a blueprint for living life on your own terms.              See all Product description",Books
"Egab Stainless Steel Electric Egg Boiler with Food Steamer Device and Omlet Maker (Multicolour) Size:eee-egg boiler   Description:  This is a convenient electric egg boiler, mini and fashion design, can boil 7 eggs at one time. Easy and quick to set up, only needs 8-10mins, you can enjoy delicious eggs, egg custard, other food...  Item type: Egg boiler Material : Stainless steel plate+plastic shell Rate voltage : 220V 50HZ Color : Random Color Rate power : 350W Size : 16.5 x 16.5 x 18cm/6.5 x 6.5 x 7.1inch  Package Includes : 1 x Egg Boiler 1 x Measuring Cup 1 x Egg Holder 1 x Manual",Home Appliances
"Uberlyfe Folding Sofa Cum Bed - Perfect for Guests - Poly Cotton Fabric Washable Cover -Dark Brown| 4' X 6' Feet.(SOFA-001726-DKBR) Size:4 X 6                                                                                 |                            Color:Dark Brown   You would be surprised that this lightweight yet sturdy piece of furniture has quite a few uses. When used as a sofa it doesn't sink-in giving a sturdy feel. When used as a mattress it is on the firmer side providing the support your back needs.. You can use this as extra bed for unexpected guests and Bachelors this is your holy grail furniture. Besides a Bed/Sofa you can use this as a Lounger for watching movies and a study on the floor table too. Though the covers are washable, We have also made available many cover designs which you can buy when you are in a mood to change the look of this furniture. Just search for ""Uberlyfe Washable covers for sofa cum bed"" on this site. Blyssware sofa cum beds are sold by Uberlyfe Exclusively.",Furniture
Lastolite LL LR3636 30-Inch TriGrip Reflector (Sunfire/Silver) Lastolite LL LR3636 30-Inch TriGrip Reflector (Sunfire/Silver),Electronics
Damen Mode Women's Rayon Printed Palazzo Palazzo Pant refers to a loose-fitting outergarment for the lower part of the body. Be ready in this uber comfortable Premium Designer cut set piece from DAMEN MODE. Team it with a pop coloured tank or a vibrant Top and beaded flip-flops for a perfect weekend hangout with friends.,Clothing
"Action Shoes Black Sports Shoes What one needs is a partner that's always on the move, that tracks your every move, just right and smartly too. And that's exactly the inspiration behind our trendy footwear collection ranging from performance sport shoes to semi-formal and formal footwear for men, women, teenagers and kids. Ultimate in design, comfort, and fit. Action shoes not only look good but also are good for your feet. Each Action product is the manifestation of our high standards of workmanship, access to latest technology. That's how Action is synonymous with maximum quality and performance.... and of course that essential look. So get into Action. And feel free to walk on the rough roads of life. Surely you'll be the winner.",Clothing
Town Square Miniatures Dolls House Garden Furniture White Wrought Iron Patio Set Table 4 Chairs,Toys
"Nikon AF-S Nikkor 50 mm f/1.8G Prime Lens for Nikon DSLR Camera This lightweight standard lens is a great travel companion because you never know when a beautiful, sunny day will turn cloudy and rainy. With its fast f/1.8 aperture, the AF-S NIKKOR 50mm f/1.8G will capture even low-light situations with stunning brilliance",Electronics
Da Urban Classic Black Leatherette Bar Stool/Chair Height Adjustable & ISO/BIFMA Certified Add a stylish look to your kitchen or in-house bar with this Da URBAN Bar stool This stylish and sleek bar stool is made of fine quality metal that is upholstered with cushioned leatherette. The fine metal provides a firm frame while the leatherette with a natural finish gives it a glossy look. The light in weight design lets you move it around with ease. This bar stool comes with height adjustment facility at the base that allows you to lift it according to your preference.,Furniture
"Thirteenkcanddle Wax 9 Hrs Burning T Light Candle Diffuser Glass Holder and Candle Stands for Home, Spa, 25X 37.5mm (white, TK-CA-068) - Set of 40 40 Wax Tealight Candles Simple, unscented pure white tea light candles - for use in candle holders - last approximately 9 hours burn time per candle. Measures: 3.5cm wide by 2.5cm high. For use with clear round, frosted, votive, tealight or square candle holders.",Home Appliances
"Homepro 800 Lm Paint Spray Machine Air Assisted Sprayer The Electric Spray & Paint Machine Is The Smartest Way To Paint. One Can Paint, Stain, Or Varnish With This Machine. It Includes A Base Unit With Carry Belt, Hose, And Container With High Pressure Paint Spray Gun. It Is Easy To Use; Just Pull The Trigger And Paint. It Is Ideal For All Kinds Of Painting Also The Paint Does Not Drip From The Container. With This One Can Transform Any Space Into A Sensational Showplace In Just Few Minutes As It Allows You To Paint On Flat Wall, Stucco, Brick, Paneling, Concrete, Wood, Glass, Smooth Surfaces & Etc. With This One You Can Be Creative Without Being Messy As It Saves Time & Money And Your House Looks Brand New Without Spending Much",Home Appliances
"The Front Page Murders Review 'A bone-chilling account of one of India's most sophisticated serial killers. Thoroughly riveting, fresh and flawless.' – The Times of India 'Incredible detailing, meticulous, offers great behind-the-scenes on law and order.' – The Hindu 'A page-turner with a Victorian writing style. Almost like re-reading an Agatha Christie novel, that has you frantically read through the night to cherish that ""ah ha"" moment.' – Business Standard 'Taut and tense.' – Scroll 'Gritty, honest and fascinating. What is better than racy crime fiction? Well, racy crime non-fiction, based on a real case and a true story.' – Outlook 'Uncovers the Oshiwara couple from hell : Bombay's Bonnie and Clyde.' – Mumbai Mirror 'Gives a peek into the serial killer's mind.' – The Quint 'A work of non-fiction that reads much like a racy crime thriller. Commendable research.' – The Tribune 'Gripping.' – The Daily Pioneer 'Explores the psyche of the serial killer who lived in a posh Mumbai apartment and attended glamorous page 3 parties.' – The Asian Age 'One of the year's best non-fiction titles by an Indian author.' – Buzzfeed About the Author Puja Changoiwala has worked as a senior crime correspondent with the Hindustan Times and has spent most of her career covering Mumbai’s sins and their casualties. Before she spotted her calling in Mumbai’s appetite for felony, Puja worked as a political journalist and sub-editor with Asian Affairs, a London-based human rights magazine, and her writings have featured on BBC.com, Firstpost.com and in The Hindu, among other publications. Puja also holds an MA in Journalism from the University of Westminster, London.",Books
"Majestic Animals: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book) About the Author Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy.",Books
"Reglox Multipurpose Tailoring Sewing Kit- SW01 Sewing Kit:_ For aspiring/learning dressmakers or beginners, trivial dress fixing issues everyday at home or the professional tailors, this sewing kit may provide most essential things required. The essential sewing kit includes sewing material container, the colorful thread rolls to match most dress colors, assorted needles for suiting multi-task stitching requirements, seam ripper to undo wrong stitches, needle threader to ease everytime putting thread through needle eye, multicolor pearl head pins, dress/blouse hooks, safety pins, dressmaker chalk, tich/snap buttons, measuring tape, bobbins , and a scissor The portable box with important sewing accessories in its compartments has comfy handles too and can be carried anywhere, like your sewing training destination.",Office Supplies
"Dr. Morepen BG-03 Blood Glucose Test Strips, 50 Strips (Black/White)(Only Strips, No Glucometer) Dr. Morepen state of art manufacturing facility in the picturesque environs of baddi comprises a scientifically integrated complex of 10 plants, each with a specific product profile. The company's extensive facilities and factories are manned by a dedicated team of professionals who ensure stringent quality standards.",Health & Wellness
"Nuthatch Maternity Work Pants Classic tailored black skinny pants are perfect for long work days making them easy. The smooth finished cotton blend provides for a polished profile. These maternity pants are sleek and crisp, giving you a composed classy silouhette and can take you from work to the weekend. The jersey over the bump waistband is designed for comfort and ease. Style with a white shirt and jacket for workwear chic.",Clothing
"Reliable Cotton Trends Fitted Bedsheets (Purple, 250 x 250 cm) Reliable trends fitted bedsheets, a whole new definition for home decor. Its 100% cotton sheet with elastic on border which is easy to cover and remove from bed. It is weather proof and suitable for summers and winters. Freedom from tucking every morning and ; morning after morning.",Furniture
Surface and Radiological Anatomy This thoroughly revised edition of the popular book features diagrams of surface anatomy in colour since colour captures a reality that is more consistent with the mode of learning and is an increasingly important element for most of the students today. In addition full labelling of the figures has been done for better understanding of the anatomic details. New digital X-ray plates ultrasonographs computerised axial tomographs and MRI scans have been included to bring in a touch of their clarity. The new imaging techniques have replaced contrast radiographic techniques like bronchography and cholecystography. Ultrasonography of hepatobiliary system is more sensitive than cholecystography in detecting small stones and biliary sludge. Contrast radiographs have their anatomical value to the student so chapters dealing with these have been retained. The text retains its essential essence and easy approach which the students have liked in this book over two decades. It makes an ideal textbook for the medical students to learn applied clinical and diagnostic aspects of anatomy.,Books
"Indiswan Safety Agarbatti Stand with Dhoop Holder on Top, Silver Color, 26 x 7.6 x 5.2 cm Material: Metal Colour: Silver This Agarbatti stand can be used both in houses and offices It is totally safe to use and saves children from burns It is fitted with a separate ash collector that keeps the puja house, room and office place clean It has the capacity to hold 5 sticks at a time Easy to clean",Home Appliances
